string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5
State,2000,2004,2008,2012,2016
California,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Connecticut,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Delaware,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
District of Columbia,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Hawaii,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Illinois,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Maine,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Maryland,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Massachusetts,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Minnesota,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
New Jersey,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
New Mexico,Democratic candidate,Republican candidate,Democratic candidate,Democratic candidate,Democratic candidate
New York,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Oregon,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Rhode Island,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Vermont,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Washington,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Colorado,Republican candidate,Republican candidate,Democratic candidate,Democratic candidate,Democratic candidate
Nevada,Republican candidate,Republican candidate,Democratic candidate,Democratic candidate,Democratic candidate
New Hampshire,Republican candidate,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate
Virginia,Republican candidate,Republican candidate,Democratic candidate,Democratic candidate,Democratic candidate
Iowa,Democratic candidate,Republican candidate,Democratic candidate,Democratic candidate,Republican candidate
Michigan,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Republican candidate
Pennsylvania,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Republican candidate
Wisconsin,Democratic candidate,Democratic candidate,Democratic candidate,Democratic candidate,Republican candidate
Alabama,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Alaska,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Arizona,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Arkansas,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Florida,Republican candidate,Republican candidate,Democratic candidate,Democratic candidate,Republican candidate
Georgia,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Idaho,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Indiana,Republican candidate,Republican candidate,Democratic candidate,Republican candidate,Republican candidate
Kansas,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Kentucky,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Louisiana,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Mississippi,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Missouri,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Montana,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Nebraska,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
North Carolina,Republican candidate,Republican candidate,Democratic candidate,Republican candidate,Republican candidate
North Dakota,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Ohio,Republican candidate,Republican candidate,Democratic candidate,Democratic candidate,Republican candidate
Oklahoma,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
South Carolina,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
South Dakota,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Tennessee,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Texas,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Utah,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
West Virginia,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate
Wyoming,Republican candidate,Republican candidate,Republican candidate,Republican candidate,Republican candidate